START:	 53.800000000000225
END:	 54.00000000000023

r [km]	 vr [km/s]	 np [cm-3]	 T [K]
37487172.0	 561.8244018554688	 33.516841888427734	 331754.28125
37487124.0	 563.6277465820312	 33.78158950805664	 335525.59375
37453032.0	 562.1925048828125	 38.97934341430664	 251518.53125
37453008.0	 557.3247680664062	 39.690006256103516	 344802.28125
37452956.0	 554.9039916992188	 39.64799880981445	 406689.71875
37452932.0	 564.1709594726562	 36.96617126464844	 285435.90625
37452908.0	 562.505615234375	 39.74443054199219	 338270.84375
37452880.0	 565.2667236328125	 38.38286590576172	 363821.40625
37452780.0	 562.312744140625	 31.570655822753906	 221093.796875
37452756.0	 562.5214233398438	 33.91415786743164	 262285.53125
37452732.0	 562.679443359375	 31.33852195739746	 225109.671875
37452580.0	 566.3295288085938	 34.4404411315918	 305902.53125
37452556.0	 563.7084350585938	 35.40665054321289	 293826.34375
37452256.0	 554.7391967773438	 29.40036964416504	 237060.25
37452000.0	 553.1799926757812	 37.72195053100586	 338040.375
37451980.0	 559.9857788085938	 36.876197814941406	 319328.6875
37451900.0	 559.6824951171875	 33.6209716796875	 207209.65625
37451876.0	 555.4426879882812	 37.606563568115234	 326150.84375
37451852.0	 554.3814086914062	 36.06045150756836	 286441.40625
37451828.0	 554.0491943359375	 33.27621841430664	 205425.71875
37451800.0	 553.1043701171875	 36.568275451660156	 285305.59375
37451776.0	 560.1654663085938	 35.40231704711914	 316679.65625
37451752.0	 555.61669921875	 36.55768966674805	 297332.0625
37451724.0	 555.4076538085938	 36.55119323730469	 279814.40625
37451700.0	 554.1697998046875	 33.27899932861328	 212862.625
37451676.0	 555.5172119140625	 36.38065719604492	 331471.4375
37451652.0	 553.933349609375	 35.592811584472656	 235267.40625
37451624.0	 551.6445922851562	 35.61286926269531	 245355.71875
37451600.0	 556.0817260742188	 35.51940155029297	 281893.34375
37451576.0	 554.9669799804688	 34.354496002197266	 225644.609375
37451548.0	 555.339111328125	 33.18318176269531	 202067.171875
37451524.0	 552.7274169921875	 34.86575698852539	 252615.3125
37451500.0	 548.4669799804688	 36.6334114074707	 364868.09375
37451424.0	 551.3148193359375	 36.04787063598633	 301989.65625
37451400.0	 552.4002685546875	 38.375389099121094	 405505.25
37451272.0	 554.4368896484375	 33.55549621582031	 223110.1875
37451248.0	 552.1574096679688	 35.780941009521484	 266680.03125
37451224.0	 551.6056518554688	 35.07886505126953	 243882.6875
37451200.0	 547.4949340820312	 35.20616149902344	 247422.34375
37451172.0	 552.4159545898438	 33.5504264831543	 183861.828125
37451120.0	 554.2762451171875	 35.406822204589844	 257247.953125
37451096.0	 552.5930786132812	 38.07077407836914	 385369.21875
37451072.0	 551.4352416992188	 33.29551696777344	 214715.0
37451048.0	 546.3986206054688	 35.94840621948242	 238955.984375
37451020.0	 551.6123657226562	 36.94169235229492	 283937.375
37451000.0	 549.4545288085938	 34.446319580078125	 206338.4375
37450972.0	 557.8580932617188	 33.872276306152344	 259913.4375
37450948.0	 550.5328369140625	 36.26176071166992	 346711.5
37450920.0	 554.4052734375	 37.842185974121094	 325626.25
37450872.0	 554.508544921875	 33.92519760131836	 227418.609375
37450844.0	 554.3869018554688	 35.32659912109375	 233369.125
37450820.0	 555.1024169921875	 34.142311096191406	 212194.6875
37450796.0	 556.3984375	 35.050472259521484	 246542.578125
37450768.0	 556.372802734375	 36.04420852661133	 279545.875
37450744.0	 556.0216674804688	 36.312129974365234	 302109.875
37450720.0	 558.005615234375	 32.89103317260742	 203014.3125
37450696.0	 554.6182861328125	 33.06645584106445	 205658.640625
37450644.0	 556.9736938476562	 35.23780059814453	 315986.53125
37450620.0	 554.2352905273438	 36.651153564453125	 296627.375
37450596.0	 557.3394775390625	 36.21974563598633	 292489.90625
37450568.0	 557.1259765625	 37.6338996887207	 294769.5625
37450544.0	 554.140380859375	 35.444732666015625	 249875.734375
37450468.0	 556.797119140625	 31.392852783203125	 187302.75
37450444.0	 553.1897583007812	 38.399845123291016	 328569.28125
37450416.0	 552.0145874023438	 39.05961608886719	 348347.71875
37450392.0	 559.8045654296875	 36.9094123840332	 340458.5
37450368.0	 560.4833374023438	 38.52185821533203	 346917.34375
37450344.0	 554.1363525390625	 38.3408088684082	 335600.125
37450316.0	 557.699462890625	 36.85204315185547	 317874.75
37450292.0	 558.1082763671875	 37.33708190917969	 316735.6875
37450216.0	 558.7457885742188	 33.921669006347656	 222816.9375
37450192.0	 552.7609252929688	 35.425086975097656	 278290.53125
37450168.0	 558.2290649414062	 37.72312545776367	 379990.96875
37450140.0	 560.6987915039062	 39.776145935058594	 405008.78125
37450120.0	 554.6771240234375	 35.2663459777832	 220251.21875
37450092.0	 551.345458984375	 36.93722152709961	 271957.125
37450068.0	 556.3287963867188	 36.25647735595703	 270580.65625
37450040.0	 557.927978515625	 36.454715728759766	 315212.40625
37450016.0	 555.1150512695312	 34.45101547241211	 246983.9375
37449988.0	 551.2724609375	 40.30080032348633	 426021.28125
37449964.0	 555.2323608398438	 32.2809944152832	 212813.6875
37449940.0	 553.102294921875	 33.050384521484375	 213608.125
37449916.0	 558.7830200195312	 31.66441535949707	 220683.078125
37449892.0	 559.7491455078125	 32.9755744934082	 216214.296875
37449764.0	 553.3148803710938	 35.246315002441406	 259526.328125
37449740.0	 555.7660522460938	 35.800533294677734	 298341.65625
37449716.0	 558.4547119140625	 36.75151062011719	 286103.15625
37449692.0	 554.7182006835938	 36.80709457397461	 298851.46875
37449564.0	 558.1975708007812	 33.88250732421875	 229098.78125
37449536.0	 556.3462524414062	 35.274349212646484	 256918.34375
37449512.0	 556.030517578125	 37.86135482788086	 335239.71875
37449488.0	 551.628173828125	 36.18545150756836	 292124.34375
37449464.0	 558.4929809570312	 35.77903366088867	 271693.375
37449436.0	 557.0137939453125	 33.609039306640625	 237238.65625
37449412.0	 560.2199096679688	 34.35609817504883	 266080.875
37449388.0	 558.656982421875	 34.6864128112793	 285798.65625
37449364.0	 552.442138671875	 36.45023727416992	 293675.53125
37449012.0	 554.9061279296875	 35.092803955078125	 241381.75
37448960.0	 558.1641845703125	 37.476654052734375	 341017.34375
37448936.0	 556.3150634765625	 36.77870178222656	 288622.75
37448908.0	 561.5046997070312	 35.20182418823242	 252821.390625
37448808.0	 556.8375854492188	 32.73521423339844	 213005.734375
37448756.0	 562.7421875	 32.608802795410156	 216785.25
37448732.0	 553.6688232421875	 37.5566520690918	 300347.78125
37448608.0	 559.38427734375	 36.7577018737793	 360752.8125
37448356.0	 555.9076538085938	 33.571964263916016	 249471.734375
37448128.0	 565.4945678710938	 36.6316032409668	 400943.6875
37448104.0	 563.5204467773438	 37.679283142089844	 412106.5
37448080.0	 569.2288818359375	 35.182701110839844	 327220.71875
37447980.0	 561.5563354492188	 33.38412857055664	 241434.9375
37447952.0	 558.2208862304688	 37.42530822753906	 347057.25
37447928.0	 555.3006591796875	 33.65336990356445	 215768.453125
37447904.0	 562.9664916992188	 37.65810775756836	 336869.625
37447880.0	 556.2901611328125	 35.21160125732422	 260066.140625
37447852.0	 558.5615844726562	 34.762760162353516	 326641.34375
37447828.0	 544.4226684570312	 39.33668899536133	 442721.75
37447804.0	 555.415771484375	 38.974056243896484	 366081.1875
37447728.0	 560.4947509765625	 36.14058303833008	 291331.0
37447704.0	 559.6131591796875	 33.982261657714844	 221081.078125
37447676.0	 558.5784301757812	 40.07929229736328	 402412.40625
37447652.0	 557.4310913085938	 33.06964874267578	 217492.765625
37447624.0	 553.1207275390625	 35.16181564331055	 273696.15625
37447600.0	 557.4876708984375	 30.483369827270508	 181317.640625
37447576.0	 557.2626342773438	 33.95585250854492	 245242.84375
37447552.0	 557.3971557617188	 37.216854095458984	 339407.28125
37447524.0	 561.0345458984375	 37.628265380859375	 378510.09375
37447452.0	 557.953125	 36.75907897949219	 406984.9375
37447428.0	 556.3394775390625	 34.75191879272461	 266491.34375
37447400.0	 555.7350463867188	 33.30152130126953	 202104.375
37447248.0	 562.8438720703125	 35.930912017822266	 323225.21875
37447224.0	 563.8142700195312	 34.20634841918945	 281956.8125
37447200.0	 562.9717407226562	 35.52579879760742	 357351.40625
37447148.0	 561.251708984375	 36.01544189453125	 355286.3125
37447124.0	 555.8566284179688	 32.26054382324219	 243250.0625
37447100.0	 560.6295776367188	 32.977027893066406	 260082.265625
37447048.0	 557.6539306640625	 31.909255981445312	 199658.46875
37446772.0	 563.2630615234375	 33.1005973815918	 274488.5625
37446744.0	 562.0477294921875	 36.28890609741211	 303949.28125
37446720.0	 560.6221923828125	 32.875022888183594	 247067.0625
37446696.0	 561.7743530273438	 33.47037124633789	 325904.0625
37446672.0	 552.8903198242188	 34.81538772583008	 350834.71875
37446396.0	 559.5423583984375	 34.24961471557617	 259487.78125
37446372.0	 563.4574584960938	 36.49147415161133	 361657.375
37446116.0	 556.264404296875	 38.06999588012695	 341422.25
37445968.0	 569.6824340820312	 36.148380279541016	 377308.4375
37445940.0	 566.8316040039062	 36.618839263916016	 367412.5
37445916.0	 560.312255859375	 37.95221710205078	 362970.03125
37445892.0	 559.1618041992188	 35.163246154785156	 269670.65625
37445616.0	 559.580810546875	 33.09059143066406	 214425.71875
37445588.0	 554.5056762695312	 35.35844039916992	 271524.65625
37445568.0	 553.7010498046875	 35.8601188659668	 322428.28125
37445540.0	 560.396240234375	 38.1938362121582	 345031.4375
37444608.0	 563.0990600585938	 36.6574821472168	 372005.90625
37444508.0	 562.2688598632812	 36.62552261352539	 275466.34375
37444484.0	 556.8967895507812	 36.929931640625	 326731.9375
37444308.0	 559.0664672851562	 35.624515533447266	 268796.59375
37443756.0	 557.2628173828125	 37.2427864074707	 301035.625
37443728.0	 553.2404174804688	 33.90284729003906	 213723.078125
37443704.0	 557.4987182617188	 36.787986755371094	 314418.65625
37443680.0	 556.2958374023438	 33.83599090576172	 208212.515625
37443656.0	 559.5065307617188	 35.509578704833984	 301250.0625
37443624.0	 552.97119140625	 33.48056411743164	 193235.03125
37443604.0	 556.6370239257812	 33.845027923583984	 211931.46875
37443552.0	 554.5615234375	 34.269859313964844	 235903.140625
37443528.0	 555.4785766601562	 32.90028381347656	 212158.703125
37443500.0	 553.537109375	 35.382442474365234	 249529.46875
37443480.0	 557.8178100585938	 37.454429626464844	 310498.5
37443452.0	 556.736572265625	 36.0546875	 292540.71875
37443428.0	 554.2703247070312	 34.662471771240234	 227751.453125
37443400.0	 551.3040161132812	 39.07475662231445	 392364.125
37443376.0	 556.042236328125	 32.870094299316406	 212156.796875
37443352.0	 558.7149658203125	 34.60043716430664	 220633.328125
37443328.0	 552.7249145507812	 33.63561248779297	 220594.5625
37443304.0	 553.08740234375	 36.76936721801758	 304727.28125
37443276.0	 553.5362548828125	 37.75322723388672	 283054.4375
37443252.0	 556.0033569335938	 37.13563919067383	 299419.125
37443224.0	 553.2422485351562	 37.98271179199219	 380658.5625
37443200.0	 559.7338256835938	 37.046573638916016	 336895.53125
37443176.0	 558.8751220703125	 34.0987434387207	 233684.09375
37443148.0	 553.1536865234375	 38.56507873535156	 372822.59375
37443124.0	 557.571044921875	 34.489280700683594	 287098.15625
37443100.0	 557.4110107421875	 37.86798858642578	 343895.75
37443076.0	 556.8136596679688	 33.53556442260742	 223462.015625
37443052.0	 555.7031860351562	 35.92810821533203	 242277.28125
37443000.0	 554.044677734375	 37.589813232421875	 309588.75
37442976.0	 557.5867309570312	 39.58393478393555	 368182.65625
37442948.0	 562.5487060546875	 36.9638557434082	 332346.8125
37442924.0	 560.8029174804688	 37.19976806640625	 318842.46875
37442900.0	 558.2489624023438	 38.980533599853516	 332725.375
37442872.0	 562.6626586914062	 39.34006118774414	 337070.8125
37442848.0	 559.0855712890625	 40.632808685302734	 390121.125
37442824.0	 557.5350341796875	 36.1966667175293	 263235.0
37442796.0	 560.8248901367188	 36.906829833984375	 308323.96875
37442772.0	 559.7275390625	 33.06526184082031	 199705.4375
37442748.0	 560.1646728515625	 35.726016998291016	 255197.9375
37442724.0	 561.7744140625	 35.9726448059082	 240803.359375
37442696.0	 555.3949584960938	 38.658504486083984	 346115.1875
37442672.0	 559.2901611328125	 40.14161682128906	 369925.0
37442648.0	 560.9127807617188	 36.40837860107422	 296622.09375
37442620.0	 558.3331909179688	 39.1034049987793	 414627.53125
37442596.0	 560.4851684570312	 38.74738311767578	 346325.59375
37442572.0	 560.4315185546875	 35.11357116699219	 253508.484375
37442548.0	 557.35791015625	 38.39601516723633	 383953.71875
37442520.0	 557.9763793945312	 37.06182861328125	 267885.5625
37442496.0	 561.5828857421875	 36.718223571777344	 277197.625
37442472.0	 557.9663696289062	 35.88711929321289	 273268.03125
37442444.0	 560.609619140625	 37.237945556640625	 298255.03125
37442420.0	 560.7455444335938	 35.238529205322266	 234768.0625
37442396.0	 554.90283203125	 37.02874755859375	 260671.625
37442372.0	 557.5762329101562	 37.4333610534668	 292558.65625
37442344.0	 556.41796875	 36.57944107055664	 281042.34375
37442320.0	 557.901611328125	 36.713111877441406	 287474.78125
37442296.0	 558.6058349609375	 34.31522750854492	 234848.78125
37442272.0	 561.6622314453125	 36.111331939697266	 288153.28125
37442244.0	 557.710693359375	 34.807701110839844	 233872.921875
37442220.0	 558.1881713867188	 37.622371673583984	 255917.09375
37442172.0	 559.951171875	 36.748905181884766	 286909.0625
37442144.0	 561.4358520507812	 35.059661865234375	 255855.40625
37442120.0	 558.8680419921875	 37.983192443847656	 326409.5
37442092.0	 557.245361328125	 37.72649383544922	 347564.9375
37442068.0	 558.1495361328125	 39.790809631347656	 382081.25
37442040.0	 560.9264526367188	 38.799774169921875	 319355.34375
37442016.0	 562.901123046875	 37.67491912841797	 322659.9375
37441992.0	 557.152587890625	 37.629486083984375	 299644.28125
37441968.0	 562.4801025390625	 35.6297607421875	 258997.8125
37441944.0	 563.2639770507812	 37.09364700317383	 311152.71875
37441916.0	 560.015869140625	 35.439109802246094	 253753.734375
37441668.0	 564.4513549804688	 36.464935302734375	 253954.65625
37441640.0	 563.4989013671875	 40.5645751953125	 372950.25
37441440.0	 558.54638671875	 39.7788200378418	 357934.4375
37441416.0	 555.336181640625	 39.756221771240234	 342167.0
37441392.0	 558.7472534179688	 36.17389678955078	 273025.75
37441288.0	 558.497314453125	 37.078643798828125	 278237.5625
37441264.0	 562.62744140625	 36.72877502441406	 266786.5625
37441112.0	 566.4508666992188	 40.185516357421875	 360985.5625
37440988.0	 556.541259765625	 33.12796401977539	 259374.0625
37440964.0	 559.2789916992188	 34.888282775878906	 231460.71875
37440936.0	 562.1434326171875	 33.208251953125	 218960.5
37440912.0	 557.3571166992188	 35.831050872802734	 261844.640625
37440884.0	 562.4063720703125	 37.9809684753418	 336991.75
37440860.0	 559.8016967773438	 37.85686111450195	 315434.34375
37440836.0	 556.8792114257812	 37.298187255859375	 306120.40625
37440812.0	 555.4427490234375	 38.618896484375	 335689.53125
37440788.0	 561.7354736328125	 37.348411560058594	 340774.75
37440764.0	 563.8500366210938	 35.751399993896484	 268644.0
37440736.0	 560.4042358398438	 35.73594284057617	 236992.171875
37440708.0	 559.1470336914062	 37.81594467163086	 310576.09375
37440688.0	 558.0735473632812	 36.57371520996094	 322366.65625
37440412.0	 553.1497192382812	 36.84032440185547	 314440.875
37440308.0	 561.5595092773438	 36.52350616455078	 318707.375
37440284.0	 558.1641235351562	 38.015933990478516	 363272.15625
37440260.0	 565.3373413085938	 37.07563018798828	 342426.3125
37440084.0	 551.9810791015625	 33.812644958496094	 234695.78125
37440056.0	 557.6438598632812	 37.58128356933594	 343537.25
37440032.0	 551.4595336914062	 39.51609802246094	 480475.5625
37439908.0	 559.6200561523438	 32.17362976074219	 269121.59375
37439884.0	 565.1256103515625	 33.569942474365234	 344589.1875
37439856.0	 560.4769897460938	 33.25312042236328	 252911.28125
37439828.0	 561.3175659179688	 32.90134048461914	 244311.46875
37439728.0	 557.6941528320312	 35.88368225097656	 309915.46875
37439680.0	 561.8479614257812	 36.97683334350586	 355482.8125
37439652.0	 554.0000610351562	 34.75617599487305	 234937.390625
37439628.0	 556.7097778320312	 31.81068992614746	 203088.3125
37439604.0	 555.5946655273438	 32.14120864868164	 238770.21875
37439580.0	 560.1756591796875	 35.41059875488281	 326007.90625
37439552.0	 560.2137451171875	 31.1934814453125	 206212.53125
37439452.0	 562.3016357421875	 33.87150192260742	 292521.78125
37439428.0	 564.998046875	 32.7314453125	 276217.09375
